1,0,1
2,3,1
3,6,1
4,7,1
5,11,1
6,14,1
7,13,1
8,14,1
9,16,1
10,19,1
11,22,1
12,24,1
13,27,1
14,33,1
15,37,1
16,44,1
17,49,1
18,45,1
19,44,1
20,46,1
21,56,1
23,60,2
24,60,2
22,60,2
25,57,1
26,52,1
27,59,1
28,60,2
29,55,1
30,60,2
31,60,2
32,60,2
33,59,1
35,60,2
34,60,2
36,56,1
37,60,2
39,60,2
40,60,2
38,60,2
41,54,1
42,59,1
43,60,2
44,60,2
45,60,2
46,60,2
47,60,2
48,60,1
49,60,2
50,57,1
51,57,1
52,60,2
53,60,2
54,57,1
55,58,1
56,60,2
57,54,1
58,56,1
59,60,2
60,60,2
61,60,2
62,60,2
63,54,1
64,58,1
65,60,2
66,59,1
67,60,2
68,60,2
69,52,1
70,55,1
71,53,1
74,60,2
72,60,2
73,60,2
75,60,2
76,54,1
77,55,1
78,55,1
79,57,1
80,55,1
81,60,2
83,60,2
82,60,2
84,57,1
85,60,2
87,60,2
86,60,2
88,54,1
89,60,2
90,60,2
91,55,1
92,60,2
93,57,1
94,58,1
96,60,2
95,60,2
97,60,2
98,52,1
99,55,1
100,52,1
101,52,1
102,52,1
103,49,1
104,59,1
105,60,2
106,60,2
107,56,1
108,53,1
109,48,1
110,54,1
111,55,1
112,57,1
113,60,1
114,60,2
115,60,2
116,55,1
117,56,1
118,60,2
119,58,1
120,60,2
121,51,1
122,53,1
123,49,1
124,52,1
125,60,2
126,60,2
127,58,1
128,60,2
129,60,1
130,60,2
131,60,2
133,60,2
132,60,2
134,60,2
135,60,1
136,60,2
137,60,2
138,55,1
139,54,1
140,50,1
141,54,1
142,59,1
143,60,2
146,60,2
144,60,2
145,60,2
147,60,2
148,60,2
149,57,1
150,57,1
151,59,1
152,60,2
153,60,2
154,55,1
155,60,2
156,54,1
157,57,1
158,60,2
159,60,2
160,60,2
161,57,1
162,57,1
164,60,2
163,60,2
167,60,2
165,60,2
166,60,2
168,56,1
169,55,1
170,60,1
171,58,1
173,60,2
172,60,2
174,57,1
175,54,1
176,58,1
177,60,2
178,57,1
179,58,1
180,57,1
181,60,2
182,56,1
183,59,1
184,60,2
186,60,2
185,60,2
187,54,1
188,55,1
189,54,1
190,57,1
191,60,2
193,60,2
192,60,2
194,55,1
195,53,1
196,57,1
197,60,2
198,60,2
199,54,1
201,60,2
200,60,2
202,51,1
203,60,2
204,60,2
205,59,1
206,60,2
207,57,1
208,60,2
209,51,1
210,55,1
211,57,1
213,60,2
214,60,2
212,60,2
216,60,2
215,60,2
217,60,2
218,57,1
219,60,2
220,58,1
221,54,1
222,60,2
223,60,2
225,60,2
224,61,2
226,55,1
227,51,1
228,60,2
229,56,1
230,58,1
231,60,2
232,60,2
233,50,1
234,56,1
235,56,1
236,60,1
237,60,2
238,60,2
239,60,1
240,60,1
241,59,1
242,60,2
243,60,2
244,59,1
245,60,2
246,59,1
247,55,1
248,49,1
249,57,1
250,59,1
252,60,2
251,60,2
253,60,1
256,60,2
254,60,2
255,60,2
257,55,1
258,56,1
259,58,1
260,60,2
261,60,2
262,59,1
263,60,2
264,59,1
266,60,2
265,60,2
267,56,1
268,58,1
269,59,1
270,60,2
271,58,1
272,60,2
274,60,2
275,60,2
273,60,2
277,60,2
276,60,2
278,55,1
279,51,1
280,48,1
281,57,1
282,56,1
283,53,1
284,60,1
285,57,1
286,56,1
288,60,2
287,60,2
289,60,2
290,60,2
291,59,1
292,60,2
293,59,1
294,60,2
295,60,2
296,60,2
297,59,1
298,59,1
299,56,1
300,59,1
301,60,2
302,59,1
303,45,1
304,47,1
305,48,1
306,48,1
307,47,1
308,50,1
309,59,1
310,60,1
312,60,2
311,60,2
313,60,2
314,59,1
315,58,1
316,60,2
317,57,1
318,53,1
319,56,1
320,59,1
321,54,1
322,57,1
323,59,1
324,60,2
325,60,2
326,60,2
327,60,1
328,56,1
329,58,1
330,59,1
331,60,2
332,60,2
333,56,1
334,56,1
335,54,1
336,56,1
337,56,1
339,60,2
343,60,2
341,60,2
340,60,2
342,60,2
338,60,2
344,60,1
345,56,1
346,59,1
347,56,1
348,58,1
349,60,2
350,60,2
351,60,2
353,60,2
354,60,2
352,60,2
355,56,1
356,60,1
357,60,2
358,59,1
359,60,2
360,60,2
361,56,1
362,59,1
363,60,2
364,51,1
365,53,1
366,57,1
369,60,2
368,60,2
367,60,2
370,59,1
371,60,2
372,60,2
374,60,2
373,60,2
375,60,2
376,58,1
377,60,2
378,60,2
379,60,2
380,60,1
381,60,1
382,60,2
383,60,2
384,58,1
385,57,1
386,60,2
387,57,1
388,56,1
389,59,1
391,60,2
390,60,2
392,59,1
393,60,2
395,60,2
394,60,2
396,60,2
397,58,1
398,60,2
399,60,2
402,60,2
401,60,2
400,60,2
403,60,2
404,60,2
405,55,1
406,52,1
407,54,1
408,56,1
409,58,1
410,60,2
411,60,2
412,60,2
413,60,2
414,56,1
415,58,1
416,60,2
417,57,1
418,60,2
419,60,2
420,60,2
421,56,1
422,59,1
423,60,2
424,57,1
425,60,2
426,59,1
427,56,1
428,60,2
429,59,1
430,60,2
431,52,1
432,55,1
433,58,1
434,60,2
435,59,1
437,60,2
436,60,2
438,55,1
439,57,1
444,60,2
443,60,2
442,60,2
440,60,2
441,60,2
445,57,1
446,60,2
447,60,2
448,60,2
449,60,1
450,58,1
451,59,1
452,60,2
453,57,1
454,60,2
455,49,1
456,51,1
457,48,1
458,51,1
459,52,1
460,50,1
461,60,2
462,52,1
463,57,1
464,61,2
465,60,2
466,52,1
467,59,1
468,60,2
469,60,2
470,57,1
471,57,1
472,60,2
473,59,1
474,60,2
475,55,1
476,56,1
477,57,1
479,60,2
478,60,2
481,60,2
480,60,2
482,60,2
483,55,1
484,60,1
485,60,2
486,56,1
